lg_code,machiaza_id,machiaza_type,pref,pref_kana,pref_roma,county,county_kana,county_roma,city,city_kana,city_roma,ward,ward_kana,ward_roma,oaza_cho,oaza_cho_kana,oaza_cho_roma,chome,chome_kana,chome_number,koaza,koaza_kana,koaza_roma,machiaza_dist,rsdt_addr_flg,rsdt_addr_mtd_code,oaza_cho_aka_flg,koaza_aka_code,oaza_cho_gsi_uncmn,koaza_gsi_uncmn,status_flg,wake_num_flg,efct_date,ablt_date,src_code,post_code,remarks
162019,0000101,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,,,,,,,粟巣野,アワスノ,,,0,0,0,1,0,0,0,0,1947-04-17,,0,,
162019,0000102,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,,,,,,,芋平,イモヒラ,,,0,0,0,1,0,0,0,0,1947-04-17,,0,,
162019,0000103,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,,,,,,,火土呂,ヒドロ,,,0,0,0,1,0,0,0,0,1947-04-17,,0,,
162019,0000104,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,,,,,,,殿様林,トノサマバヤシ,,,0,0,0,1,0,0,0,0,1947-04-17,,0,,
162019,0000105,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,,,,,,,東黒牧上野,ヒガシクロマキウワノ,,,0,0,0,1,0,0,0,0,1947-04-17,,0,,
162019,0000106,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,,,,,,,立石,タテイシ,,,0,0,0,1,0,0,0,0,1947-04-17,,0,,
162019,0001000,1,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,相生町,アイオイチョウ,Aioicho,,,,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,9300075,
162019,0002001,2,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,綾田町,アイデンマチ,Aidemmachi,一丁目,１チョウメ,1,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
162019,0002002,2,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,綾田町,アイデンマチ,Aidemmachi,二丁目,２チョウメ,2,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
162019,0002003,2,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,綾田町,アイデンマチ,Aidemmachi,三丁目,３チョウメ,3,,,,,1,1,0,0,0,0,0,1,1947-04-17,,0,,
162019,0002101,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,綾田町,アイデンマチ,Aidemmachi,,,,字観音堂割,アザカンノンドウワリ,,,0,0,0,0,0,0,0,1,1947-04-17,,0,,
162019,0002102,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,綾田町,アイデンマチ,Aidemmachi,,,,字宮田割,アザミヤタワリ,,,0,0,0,0,0,0,0,1,1947-04-17,,0,,
162019,0002103,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,綾田町,アイデンマチ,Aidemmachi,,,,字橋浦割,アザハシウラワリ,,,0,0,0,0,0,0,0,1,1947-04-17,,0,,
162019,0002104,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,綾田町,アイデンマチ,Aidemmachi,,,,字五郎割,アザゴロウワリ,,,0,0,0,0,0,0,0,1,1947-04-17,,0,,
162019,0002105,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,綾田町,アイデンマチ,Aidemmachi,,,,字三百苅割,アザサンビヤクカリワリ,,,0,0,0,0,0,0,0,1,1947-04-17,,0,,
162019,0002106,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,綾田町,アイデンマチ,Aidemmachi,,,,字早稲田割,アザワセダワリ,,,0,0,0,0,0,0,0,1,1947-04-17,,0,,
162019,0002107,3,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,綾田町,アイデンマチ,Aidemmachi,,,,字堂城割,アザドウジヨウワリ,,,0,0,0,0,0,0,0,1,1947-04-17,,0,,
162019,0003000,1,富山県,トヤマケン,Toyama,,,,富山市,トヤマシ,Toyama-shi,,,,青柳,アオヤナギ,Aoyanagi,,,,,,,,0,0,0,0,0,0,0,1,1947-04-17,,0,9398162,
