lg_code,machiaza_id,machiaza_type,pref,pref_kana,pref_roma,county,county_kana,county_roma,city,city_kana,city_roma,ward,ward_kana,ward_roma,oaza_cho,oaza_cho_kana,oaza_cho_roma,chome,chome_kana,chome_number,koaza,koaza_kana,koaza_roma,machiaza_dist,rsdt_addr_flg,rsdt_addr_mtd_code,oaza_cho_aka_flg,koaza_aka_code,oaza_cho_gsi_uncmn,koaza_gsi_uncmn,status_flg,wake_num_flg,efct_date,ablt_date,src_code,post_code,oaza_cho_uncmn_reg,oaza_cho_uncmn_mj,oaza_cho_uncmn_type,oaza_cho_uncmn_code,koaza_uncmn_reg,koaza_uncmn_mj,koaza_uncmn_type,koaza_uncmn_code,alias_oaza,alias_oaza_kana,alias_oaza_roma,alias_koaza,alias_koaza_kana,alias_koaza_roma,remarks
412015,0001000,1,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,愛敬町,アイケイチョウ,Aikeicho,,,,,,,,1,1,0,0,0,0,1,1,1947-04-17,,0,8400812,,,,,,,,,,,,,,,
412015,0002000,1,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,赤松町,アカマツマチ,Akamatsumachi,,,,,,,,0,0,0,0,0,0,1,1,1947-04-17,,0,8400042,,,,,,,,,,,,,,,
412015,0002000,1,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,赤松町,アカマツマチ,Akamatsumachi,,,,,,,,1,1,0,0,0,0,1,1,1947-04-17,,0,8400042,,,,,,,,,,,,,,,
412015,0003000,1,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,朝日町,アサヒマチ,Asahimachi,,,,,,,,1,1,0,0,0,0,1,1,1947-04-17,,0,8400053,,,,,,,,,,,,,,,
412015,0004000,1,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,伊勢町,イセマチ,Isemachi,,,,,,,,1,1,0,0,0,0,1,1,1947-04-17,,0,8400844,,,,,,,,,,,,,,,
412015,0005000,1,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,今宿町,イマシュクマチ,Imashukumachi,,,,,,,,1,1,0,0,0,0,1,1,1947-04-17,,0,8400052,,,,,,,,,,,,,,,
412015,0006001,2,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,駅前中央,エキマエチュウオウ,Ekimaechuo,一丁目,１チョウメ,1,,,,,1,1,0,0,0,0,1,1,1947-04-17,,0,,,,,,,,,,,,,,,,
412015,0006002,2,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,駅前中央,エキマエチュウオウ,Ekimaechuo,二丁目,２チョウメ,2,,,,,1,1,0,0,0,0,1,1,1947-04-17,,0,,,,,,,,,,,,,,,,
412015,0006003,2,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,駅前中央,エキマエチュウオウ,Ekimaechuo,三丁目,３チョウメ,3,,,,,1,1,0,0,0,0,1,1,1947-04-17,,0,,,,,,,,,,,,,,,,
412015,0007000,1,佐賀県,サガケン,Saga,,,,佐賀市,サガシ,Saga-shi,,,,駅南本町,エキミナミホンマチ,Ekiminamihommachi,,,,,,,,1,1,0,0,0,0,1,1,1947-04-17,,0,8400816,,,,,,,,,,,,,,,
